Student_Name	Center_Point	Scale	Orientation
student_1	"(105, 174)"	1	0
student_2	"(163, 174)"	1	0
student_3	"(46, 291)"	1	0
student_4	"(105, 291)"	1	0
student_5	"(163, 291)"	1	0
student_6	"(46, 405)"	1	0
student_7	"(105, 405)"	1	0
student_8	"(163, 405)"	1	0
student_9	"(46, 516)"	1	0
student_10	"(105, 516)"	1	0
student_11	"(163, 516)"	1	0
student_12	"(358, 255)"	1	270
student_13	"(358, 370)"	1	270
student_14	"(358, 485)"	1	270
student_15	"(509, 174)"	1	0
student_16	"(567, 174)"	1	0
student_17	"(567, 292)"	1	0
student_18	"(625, 292)"	1	0
student_19	"(567, 405)"	1	0
student_20	"(625, 405)"	1	0
back of class	"(270, 620)"	1	0
